Place,Accommodation Name,Category,Price,Facilities,Rating,Distance
Pinnawala,Resort Resort Pinnawala,Guesthouse,79,"Spa, Wi-Fi, Restaurant",4.1,1.5
Jaffna,Lodge Inn Jaffna,Guesthouse,142,"Pool, Spa, Restaurant",4.8,2.7
Gampaha,Retreat Inn Gampaha,Guesthouse,298,"Garden, Pool",4.3,1.5
Melsiripura,Villa Hotel Melsiripura,Hotel,161,"Spa, Gym",5,1.5
Colombo,Lodge Palace Colombo,Guesthouse,212,"Pool, Restaurant",3.9,4.8
Meegama,View House Meegama,Guesthouse,263,"Spa, Gym, Garden",5,1.7
Kataragama,Palace Retreat Kataragama,Hotel,226,"Gym, Wi-Fi",3.9,4.6
Horana,Lodge Resort Horana,Resort,177,"Pool, Gym",4.9,4
Warakapola,Resort Retreat Warakapola,Resort,102,"Restaurant, Spa",4.6,4
Mirigama,Resort Hotel Mirigama,Guesthouse,276,"Gym, Pool, Garden, Spa",3.7,2.4
Hatton,The Grand Inn Hatton,Hotel,108,"Restaurant, Gym, Wi-Fi",3.7,2.7
Wattegama,Hotel House Wattegama,Resort,52,"Spa, Wi-Fi",3.9,2.3
Dambulla,Heritage Inn Dambulla,Hotel,236,"Garden, Wi-Fi",3.7,2.5
Galle,Retreat Villa Galle,Hotel,222,"Spa, Restaurant",4.6,1.6
Negombo,Lodge Villa Negombo,Resort,113,"Restaurant, Pool, Wi-Fi, Spa",4.5,1.5
Puttalam,Lodge Inn Puttalam,Guesthouse,65,"Spa, Gym, Garden, Wi-Fi",4,2.1
Ambalantota,Heritage House Ambalantota,Guesthouse,272,"Restaurant, Pool, Wi-Fi",3.8,4.1
Beliatta,View Inn Beliatta,Hotel,64,"Garden, Wi-Fi, Restaurant",3.8,1.3
Denagama,Hotel Palace Denagama,Resort,159,"Spa, Wi-Fi, Pool, Restaurant",4.3,0.8
Wilpattu,Retreat Inn Wilpattu,Resort,228,"Garden, Gym, Pool, Wi-Fi",4.1,5
Kelaniya,Heritage Villa Kelaniya,Guesthouse,186,"Garden, Pool, Spa",4.6,1.1
Kalpitiya,Resort Hotel Kalpitiya,Guesthouse,271,"Restaurant, Wi-Fi, Gym",3.8,3.8
Maskeliya,View Villa Maskeliya,Resort,299,"Spa, Pool, Garden, Gym",4.7,0.6
Kurunegala,View Resort Kurunegala,Hotel,149,"Wi-Fi, Gym",4,1.2
Wellawaya,The Grand Retreat Wellawaya,Hotel,130,"Restaurant, Gym, Wi-Fi",4.1,1.2
Dikwella,Palace Hotel Dikwella,Hotel,290,"Restaurant, Gym, Wi-Fi, Garden",4.5,1.3
Puttalam,Heritage Retreat Puttalam,Hotel,120,"Gym, Pool",3.9,1.2
Denagama,Lodge Hotel Denagama,Guesthouse,138,"Spa, Pool, Restaurant",4.5,0.9
Kadugannawa,Lodge Palace Kadugannawa,Hotel,288,"Garden, Pool",3.9,3.1
Ambalangoda,View Hotel Ambalangoda,Hotel,254,"Spa, Wi-Fi",4.1,0.1
Horton Plains,Heritage Inn Horton Plains,Resort,113,"Garden, Gym, Spa",4.3,0.6
Aluthgama,The Grand House Aluthgama,Guesthouse,158,"Gym, Garden",4.7,4
Balangoda,Lodge Inn Balangoda,Resort,168,"Restaurant, Garden, Wi-Fi",3.7,1.1
Jaffna,Villa House Jaffna,Guesthouse,280,"Spa, Gym",3.6,4.5
Kithulgala,Retreat House Kithulgala,Resort,57,"Wi-Fi, Garden, Restaurant, Gym",4.6,4.1
Badulla,The Grand Resort Badulla,Guesthouse,209,"Pool, Gym",4,2.4
Wellawaya,Heritage Retreat Wellawaya,Hotel,206,"Garden, Gym, Restaurant, Wi-Fi",4.7,4.9
Meegama,Resort Resort Meegama,Hotel,147,"Pool, Garden",4.8,1.5
Kandy,Palace Retreat Kandy,Hotel,143,"Pool, Spa",4.2,0.9
Piliyandala,Heritage Villa Piliyandala,Hotel,261,"Garden, Restaurant, Gym",4.8,2.1
Wilpattu,Palace Hotel Wilpattu,Hotel,81,"Gym, Wi-Fi, Garden",4.7,1.8
Embilipitiya,Villa House Embilipitiya,Resort,199,"Garden, Pool, Spa, Gym",3.9,2.8
Kithulgala,Lodge House Kithulgala,Hotel,55,"Restaurant, Pool",3.8,1.5
Ella Rock,Resort Palace Ella,Guesthouse,279,"Wi-Fi, Restaurant, Gym, Garden",4.7,3.2
Nuwara Eliya,The Grand Hotel Nuwara Eliya,Hotel,153,"Garden, Gym, Wi-Fi, Restaurant",4.3,4.1
Dickoya,Villa Resort Dickoya,Resort,230,"Spa, Wi-Fi",4.7,0.6
Seeduwa,Retreat House Seeduwa,Guesthouse,209,"Spa, Wi-Fi, Gym, Restaurant",3.9,1
Udawalawe,Palace Retreat Udawalawe,Resort,161,"Garden, Spa, Wi-Fi, Pool",3.9,0.5
Tangalle,Hotel Retreat Tangalle,Guesthouse,92,"Gym, Restaurant, Spa, Wi-Fi",4.6,0.7
Kalutara,Heritage House Kalutara,Hotel,230,"Wi-Fi, Pool",4.6,0.3
Wattala,The Grand Retreat Wattala,Resort,270,"Wi-Fi, Restaurant",4.3,4.2
Melsiripura,Hotel Inn Melsiripura,Resort,164,"Pool, Gym",3.6,2.5
Unawatuna,The Grand Hotel Unawatuna,Resort,215,"Spa, Wi-Fi, Pool",4,4.6
Tissamaharama,Retreat Resort Tissamaharama,Hotel,296,"Pool, Spa, Gym",4.3,0.6
Kalpitiya,Palace Resort Kalpitiya,Resort,222,"Garden, Pool, Wi-Fi, Restaurant",3.6,1.9
Kitulgala,Retreat House Kitulgala,Resort,63,"Gym, Restaurant, Wi-Fi, Spa",4.5,0.8
Talalla,Retreat House Talalla,Guesthouse,244,"Wi-Fi, Pool, Restaurant, Spa",3.9,1.7
Anuradhapura,Retreat Resort Anuradhapura,Hotel,162,"Restaurant, Garden",3.8,0.9
Gampola,Lodge Inn Gampola,Guesthouse,111,"Restaurant, Spa, Garden, Pool",3.7,1.2
Minuwangoda,Palace Hotel Minuwangoda,Guesthouse,221,"Garden, Wi-Fi",5,4.9
Beliatta,The Grand Villa Beliatta,Guesthouse,289,"Garden, Spa, Pool, Restaurant",4.3,3.1
Beruwala,Villa Retreat Beruwala,Hotel,101,"Wi-Fi, Garden, Spa",5,2.8
Beruwala,The Grand Villa Beruwala,Hotel,189,"Restaurant, Spa, Gym",4.4,2.4
Horton Plains,Lodge Inn Horton Plains,Guesthouse,141,"Restaurant, Gym, Pool, Garden",4.4,4.1
Trincomalee,Lodge Hotel Trincomalee,Guesthouse,161,"Spa, Pool, Gym",4.5,3.4
Mullaitivu,Heritage Hotel Mullaitivu,Guesthouse,98,"Wi-Fi, Garden, Gym",4.2,2.1
Dehiwala,Palace House Dehiwala,Guesthouse,108,"Wi-Fi, Garden, Gym, Spa",4.2,3.8
Seeduwa,The Grand Inn Seeduwa,Guesthouse,235,"Spa, Restaurant, Gym, Garden",4.5,0.5
Pasikuda,Retreat Inn Pasikuda,Hotel,194,"Wi-Fi, Garden, Pool",5,3.3
Arugam Bay,Villa Palace Arugam Bay,Resort,271,"Wi-Fi, Restaurant, Garden, Spa",3.9,1.2
Hambantota,Lodge Hotel Hambantota,Hotel,193,"Gym, Wi-Fi, Spa",3.5,0.2
Hatton,Lodge Inn Hatton,Hotel,258,"Gym, Wi-Fi, Pool, Garden",4.5,3.6
Jaffna,Palace Inn Jaffna,Hotel,180,"Pool, Restaurant, Gym, Spa",4.4,4.8
Tangalle,Retreat Hotel Tangalle,Hotel,229,"Garden, Pool",4.5,1.1
Bentota,The Grand Palace Bentota,Hotel,131,"Pool, Gym",3.7,0.9
Arugam Bay,The Grand Hotel Arugam Bay,Hotel,170,"Pool, Garden, Wi-Fi",3.8,1.2
Tangalle,Retreat Retreat Tangalle,Resort,189,"Garden, Pool",3.5,3.6
Negombo,View Retreat Negombo,Hotel,205,"Restaurant, Spa",4.3,0.8
Udawalawe,Villa Resort Udawalawe,Guesthouse,231,"Garden, Pool, Wi-Fi, Restaurant",5,2.2
Colombo,Villa Resort Colombo,Guesthouse,186,"Pool, Gym, Spa, Wi-Fi",4.1,2.3
Unawatuna,Villa Palace Unawatuna,Guesthouse,281,"Garden, Gym, Restaurant",4.7,4
Beliatta,Villa Retreat Beliatta,Guesthouse,282,"Wi-Fi, Spa",3.6,2.4
Chilaw,Villa House Chilaw,Hotel,72,"Garden, Restaurant, Gym",4.8,1.5
Tissamaharama,Villa House Tissamaharama,Resort,119,"Spa, Garden, Pool, Wi-Fi",4.1,3.6
Beruwala,Palace Palace Beruwala,Guesthouse,171,"Spa, Pool, Restaurant, Garden",4.8,4.7
Beliatta,View Villa Beliatta,Guesthouse,111,"Restaurant, Wi-Fi",3.9,2.3
Hambantota,Retreat Inn Hambantota,Resort,92,"Spa, Pool, Garden",3.7,4.4
Seeduwa,Hotel Villa Seeduwa,Hotel,61,"Gym, Restaurant, Garden",4.3,1.7
Warakapola,Palace Retreat Warakapola,Guesthouse,107,"Gym, Pool",4.3,1.9
Haputale,Palace Inn Haputale,Resort,120,"Pool, Spa, Gym",4.6,3.8
Colombo,The Grand Retreat Colombo,Resort,205,"Spa, Restaurant, Wi-Fi",4.2,4.1
Dambulla,Lodge Hotel Dambulla,Resort,263,"Gym, Restaurant",3.6,0.7
Matale,Retreat Villa Matale,Guesthouse,276,"Wi-Fi, Garden",4.7,4.5
Chilaw,Heritage Palace Chilaw,Resort,253,"Spa, Gym, Restaurant",4.4,3.8
Udawalawe,View Palace Udawalawe,Hotel,295,"Garden, Pool, Restaurant, Wi-Fi",4.4,3.4
Kitulgala,Lodge Resort Kitulgala,Guesthouse,149,"Gym, Pool",4.4,3.7
Puttalam,Palace Palace Puttalam,Resort,134,"Wi-Fi, Restaurant, Garden, Spa",3.6,1.3
Ingiriya,The Grand Villa Ingiriya,Hotel,266,"Pool, Gym, Garden, Wi-Fi",3.6,2.6
Wattala,Heritage Inn Wattala,Guesthouse,85,"Gym, Pool, Wi-Fi, Restaurant",4.6,3.1
Kithulgala,Villa Retreat Kithulgala,Hotel,54,"Garden, Spa",3.5,0.5
Piliyandala,Villa Inn Piliyandala,Hotel,88,"Pool, Garden, Wi-Fi",3.8,1.7
Horton Plains,Heritage Inn Horton Plains,Resort,198,"Wi-Fi, Restaurant, Garden, Gym",4.4,2.6
Mannar,Palace Resort Mannar,Hotel,126,"Spa, Wi-Fi, Garden, Pool",4.4,1.3
Kelaniya,Retreat Resort Kelaniya,Resort,290,"Restaurant, Pool, Garden",4.5,4.5
Meegama,Villa Hotel Meegama,Guesthouse,110,"Pool, Gym, Garden",4.1,3.5
Unawatuna,Lodge House Unawatuna,Hotel,252,"Pool, Wi-Fi, Gym",4.5,1.6
Wattala,View Retreat Wattala,Resort,214,"Spa, Wi-Fi, Garden",4.8,0.3
Balangoda,Hotel Resort Balangoda,Hotel,294,"Wi-Fi, Spa",4.6,4.3
Meegama,Palace Resort Meegama,Guesthouse,245,"Gym, Restaurant",3.6,1.1
Ella Rock,Heritage Retreat Ella,Guesthouse,74,"Wi-Fi, Garden, Gym",4.5,0.8
Horton Plains,Lodge Inn Horton Plains,Guesthouse,146,"Wi-Fi, Gym, Spa, Restaurant",4.6,2
Balangoda,Palace Villa Balangoda,Hotel,141,"Pool, Wi-Fi",4.5,1.2
Ambalantota,Resort Inn Ambalantota,Hotel,206,"Restaurant, Pool, Gym",3.6,4.3
Ambalangoda,Retreat Hotel Ambalangoda,Resort,83,"Spa, Gym, Pool, Wi-Fi",4.9,4.8
Dambulla,Palace Hotel Dambulla,Hotel,209,"Restaurant, Gym",4.4,3.6
Wattala,Lodge House Wattala,Guesthouse,122,"Pool, Gym, Restaurant",4,4.9
Ingiriya,Lodge Hotel Ingiriya,Guesthouse,294,"Restaurant, Gym",3.8,4.7
Kelaniya,View Villa Kelaniya,Resort,255,"Restaurant, Wi-Fi",4.6,4.8
Bentota,Villa Inn Bentota,Resort,119,"Garden, Wi-Fi",4.6,0.6
Puttalam,The Grand Villa Puttalam,Resort,108,"Wi-Fi, Pool",4.5,1.7
Negombo,Retreat Hotel Negombo,Guesthouse,148,"Spa, Gym",3.7,0.2
Kurunegala,Heritage Retreat Kurunegala,Hotel,96,"Garden, Gym",4.4,2.7
Galewela,Lodge Retreat Galewela,Resort,58,"Spa, Gym, Garden, Pool",3.8,2.1
Ambalantota,Lodge Inn Ambalantota,Hotel,51,"Restaurant, Spa",3.9,1.6
Colombo,View Inn Colombo,Hotel,262,"Spa, Pool, Wi-Fi",3.7,3.2
Dambulla,Hotel Retreat Dambulla,Resort,231,"Garden, Wi-Fi",4.8,3
Beliatta,Lodge Inn Beliatta,Resort,261,"Pool, Gym, Garden",3.7,2.7
Anuradhapura,Hotel Resort Anuradhapura,Guesthouse,246,"Restaurant, Gym, Garden, Pool",3.8,2.9
Batticaloa,Lodge Retreat Batticaloa,Guesthouse,174,"Spa, Garden, Pool",4.3,2
Maskeliya,Retreat Villa Maskeliya,Resort,156,"Pool, Spa",5,3
Chilaw,View Palace Chilaw,Resort,204,"Restaurant, Wi-Fi, Spa",4.3,3.8
Negombo,Palace Villa Negombo,Hotel,277,"Restaurant, Wi-Fi, Garden",4.7,1.2
Talalla,Retreat Inn Talalla,Hotel,143,"Gym, Wi-Fi, Spa",3.9,1.9
Dikwella,Palace Palace Dikwella,Guesthouse,276,"Wi-Fi, Spa, Gym, Garden",3.7,1.9
Deniyaya,Hotel House Deniyaya,Resort,229,"Wi-Fi, Garden, Spa, Gym",4.8,0.4
Knuckles Range,Resort Villa Knuckles Range,Resort,243,"Gym, Garden, Spa, Restaurant",4.7,4.1
Tangalle,Villa Villa Tangalle,Resort,75,"Spa, Pool, Garden, Restaurant",3.9,1.9
Horton Plains,View Palace Horton Plains,Resort,88,"Wi-Fi, Spa",3.7,2.3
Mannar,View Resort Mannar,Resort,211,"Pool, Garden, Restaurant, Gym",3.7,0.6
Warakapola,Hotel Hotel Warakapola,Resort,283,"Pool, Restaurant, Wi-Fi, Gym",3.7,4
Ginigathhena,View Hotel Ginigathhena,Hotel,169,"Pool, Restaurant, Gym",3.9,4.2
Horton Plains,The Grand Palace Horton Plains,Resort,107,"Restaurant, Gym, Garden, Pool",4,4.6
Kelaniya,Lodge Villa Kelaniya,Guesthouse,235,"Restaurant, Pool, Garden",3.6,2
Kurunegala,Palace Resort Kurunegala,Hotel,299,"Gym, Garden, Wi-Fi",4.3,3.1
Ginigathhena,Lodge Villa Ginigathhena,Hotel,80,"Spa, Pool",4.6,4.8
Haputale,The Grand Retreat Haputale,Hotel,61,"Pool, Wi-Fi, Restaurant, Garden",3.5,4.5
Tangalle,Resort Hotel Tangalle,Resort,149,"Restaurant, Garden, Gym, Pool",4.8,0.8
Kurunegala,Resort Hotel Kurunegala,Hotel,242,"Garden, Wi-Fi, Restaurant",4.1,1
Mirigama,The Grand House Mirigama,Resort,89,"Restaurant, Gym",4.1,2.5
Knuckles Range,Resort Retreat Knuckles Range,Guesthouse,125,"Garden, Restaurant, Wi-Fi",4.9,2.3
Ingiriya,Villa Retreat Ingiriya,Guesthouse,104,"Spa, Gym",4.4,4.7
Balangoda,Heritage Resort Balangoda,Guesthouse,148,"Garden, Pool, Spa",4.9,1.2
Kithulgala,Resort Villa Kithulgala,Guesthouse,159,"Pool, Spa",4.9,3.8
Dambulla,Hotel Villa Dambulla,Guesthouse,77,"Garden, Restaurant",4.5,1.8
Vavuniya,Palace Resort Vavuniya,Hotel,243,"Gym, Spa, Pool, Wi-Fi",4.9,3.6
Bentota,The Grand Resort Bentota,Guesthouse,231,"Wi-Fi, Gym",3.9,4.8
Tangalle,Villa Resort Tangalle,Hotel,58,"Garden, Gym",3.9,0.3
Galewela,The Grand Palace Galewela,Resort,292,"Gym, Restaurant",4.2,1
Tangalle,Resort Retreat Tangalle,Resort,128,"Garden, Restaurant, Gym, Wi-Fi",4.6,4.8
Ambalantota,The Grand Hotel Ambalantota,Resort,92,"Spa, Wi-Fi, Pool, Gym",5,1
Koggala,View Villa Koggala,Resort,291,"Wi-Fi, Spa, Restaurant",4.8,2.4
Gampola,Heritage Inn Gampola,Hotel,216,"Spa, Pool, Garden, Wi-Fi",3.8,4.4
Kadugannawa,Resort Resort Kadugannawa,Guesthouse,162,"Garden, Pool",4.5,1.8
Knuckles Range,Palace Hotel Knuckles Range,Hotel,183,"Restaurant, Wi-Fi, Pool",3.6,2.1
Kalutara,Resort Hotel Kalutara,Resort,123,"Gym, Restaurant, Garden",3.5,3.7
Chilaw,The Grand Hotel Chilaw,Guesthouse,67,"Restaurant, Gym, Pool",4.7,4.1
Udawalawe,Heritage House Udawalawe,Resort,172,"Spa, Wi-Fi, Garden, Restaurant",4.6,4.3
Balangoda,Resort Inn Balangoda,Resort,220,"Restaurant, Spa, Garden, Wi-Fi",4.5,2.5
Habarana,Villa Palace Habarana,Resort,91,"Garden, Restaurant",3.6,3.4
Kataragama,Palace Resort Kataragama,Hotel,182,"Gym, Spa, Garden, Wi-Fi",4.7,1.2
Kurunegala,Palace Resort Kurunegala,Resort,250,"Pool, Gym, Restaurant, Wi-Fi",4.4,0.1
Galle,Lodge Palace Galle,Guesthouse,126,"Restaurant, Pool, Spa, Gym",4.8,2.7
Melsiripura,Lodge House Melsiripura,Hotel,262,"Spa, Restaurant, Gym",4.7,0.5
Kelaniya,Hotel House Kelaniya,Guesthouse,61,"Wi-Fi, Restaurant, Pool, Garden",3.6,0.9
Puttalam,Resort Inn Puttalam,Guesthouse,51,"Wi-Fi, Gym, Garden",4.2,3
Koggala,Palace Hotel Koggala,Guesthouse,179,"Gym, Pool, Spa, Restaurant",4.8,3.3
Ginigathhena,Palace Retreat Ginigathhena,Resort,71,"Wi-Fi, Garden, Gym",4.2,2.4
Dehiwala,Heritage Palace Dehiwala,Guesthouse,278,"Garden, Pool, Spa",4.4,4.6
Matara,The Grand Inn Matara,Resort,52,"Pool, Wi-Fi",4.2,3.3
Balangoda,Palace Hotel Balangoda,Hotel,77,"Wi-Fi, Gym, Spa, Garden",3.7,2.3
Batticaloa,Villa Villa Batticaloa,Resort,130,"Pool, Restaurant, Wi-Fi",3.9,0.2
Seeduwa,Retreat Palace Seeduwa,Resort,113,"Pool, Restaurant",3.5,1.2
Weligama,Villa Palace Weligama,Resort,108,"Gym, Spa, Garden, Restaurant",3.8,1
Aluthgama,Resort Inn Aluthgama,Guesthouse,146,"Wi-Fi, Garden, Restaurant, Pool",3.8,1.9
Matara,Villa Resort Matara,Resort,283,"Garden, Restaurant",3.5,4
Kataragama,The Grand Retreat Kataragama,Hotel,255,"Garden, Spa, Gym, Pool",4.3,1.8
Yala National Park,View Palace Yala,Resort,250,"Garden, Wi-Fi, Spa, Pool",4.8,0.1
Ginigathhena,Resort Villa Ginigathhena,Guesthouse,204,"Gym, Garden",4,2.2
Yala National Park,Resort Retreat Yala,Resort,246,"Pool, Restaurant, Gym",4.8,3.5
Wattala,Lodge Palace Wattala,Resort,165,"Gym, Restaurant",3.7,3.8
Warakapola,Palace Inn Warakapola,Resort,242,"Spa, Garden",4.5,1.5
Wattegama,Retreat Inn Wattegama,Guesthouse,71,"Pool, Spa, Gym, Wi-Fi",3.9,4.4
Hatton,Resort Villa Hatton,Resort,261,"Garden, Gym, Spa",4.8,3
Polonnaruwa,Heritage Inn Polonnaruwa,Hotel,182,"Spa, Pool, Restaurant, Wi-Fi",4.6,2.5
Deniyaya,Lodge House Deniyaya,Hotel,282,"Gym, Restaurant, Wi-Fi",3.7,0.5
Rakwana,Heritage Retreat Rakwana,Resort,147,"Spa, Wi-Fi, Garden",5,2.7
Gampola,Lodge Inn Gampola,Hotel,231,"Restaurant, Pool, Wi-Fi, Garden",4.3,1.2
Dehiwala,Hotel Hotel Dehiwala,Guesthouse,285,"Spa, Pool, Gym",3.7,3.8
Piliyandala,Hotel Retreat Piliyandala,Hotel,109,"Wi-Fi, Gym",3.9,0.3
Meegama,Resort Palace Meegama,Resort,281,"Wi-Fi, Restaurant",4.1,3.6
Pasikuda,Heritage Villa Pasikuda,Hotel,232,"Garden, Wi-Fi, Restaurant, Spa",4.8,3.7
Kataragama,Heritage Palace Kataragama,Resort,275,"Gym, Spa",4.7,0.4
Minuwangoda,The Grand Retreat Minuwangoda,Resort,112,"Spa, Gym, Wi-Fi",4.2,3.5
Ambalantota,Lodge Hotel Ambalantota,Resort,90,"Gym, Garden, Wi-Fi",4.8,3.7
Polonnaruwa,Resort Retreat Polonnaruwa,Hotel,208,"Restaurant, Garden",4,1.6
Haputale,Heritage Resort Haputale,Hotel,109,"Spa, Restaurant",3.6,1.8
Kalpitiya,The Grand Hotel Kalpitiya,Guesthouse,174,"Garden, Wi-Fi, Spa",4.7,2.3
Kandy,Retreat Retreat Kandy,Resort,214,"Gym, Restaurant",4.6,3.5
Katunayake,View Villa Katunayake,Guesthouse,219,"Gym, Garden, Pool, Wi-Fi",4.2,2.5
Anuradhapura,Palace Hotel Anuradhapura,Hotel,234,"Spa, Garden",3.6,1.6
Vavuniya,Lodge House Vavuniya,Resort,203,"Pool, Gym, Wi-Fi",5,3.3
Ambalantota,View House Ambalantota,Hotel,288,"Restaurant, Gym, Pool, Garden",4.6,2.8
Katunayake,Palace Villa Katunayake,Hotel,280,"Restaurant, Pool, Wi-Fi",4.4,4.7
Gampola,Retreat Palace Gampola,Hotel,262,"Gym, Garden",3.8,4.2
Horana,Heritage Hotel Horana,Guesthouse,180,"Restaurant, Wi-Fi, Spa, Pool",4.3,1.1
Puttalam,Villa House Puttalam,Hotel,206,"Garden, Pool, Restaurant",4.9,2.6
Trincomalee,Villa Palace Trincomalee,Guesthouse,183,"Spa, Garden",4.3,3.8
Matale,Lodge Inn Matale,Hotel,266,"Gym, Pool, Spa",3.8,3.7
Batticaloa,Palace Inn Batticaloa,Hotel,140,"Wi-Fi, Spa, Pool",4.6,0.5
Mannar,Resort House Mannar,Guesthouse,282,"Gym, Spa",5,0.8
Haputale,Lodge Resort Haputale,Resort,212,"Pool, Gym",4,2.7
Sigiriya,View Hotel Sigiriya,Resort,252,"Gym, Pool, Spa, Wi-Fi",3.9,3.6
Kataragama,Lodge Resort Kataragama,Resort,231,"Restaurant, Wi-Fi, Gym",4.5,4.1
Dehiwala,The Grand House Dehiwala,Resort,77,"Wi-Fi, Garden, Restaurant, Gym",3.8,4.8
Pelmadulla,Retreat Hotel Pelmadulla,Resort,106,"Restaurant, Garden",4.3,3
Udawalawe,Lodge Inn Udawalawe,Guesthouse,152,"Pool, Wi-Fi, Restaurant",3.6,4.6
Deniyaya,The Grand Retreat Deniyaya,Guesthouse,199,"Gym, Garden, Restaurant",4.6,2.8
Wattegama,Hotel Palace Wattegama,Hotel,184,"Spa, Pool, Garden, Restaurant",4.8,2.8
Nawalapitiya,Palace Palace Nawalapitiya,Hotel,255,"Wi-Fi, Pool, Gym, Restaurant",4,1.2
Sigiriya,The Grand Retreat Sigiriya,Resort,154,"Wi-Fi, Spa, Pool, Garden",4,3.2
Meegama,Lodge Retreat Meegama,Resort,269,"Garden, Pool, Spa, Gym",3.8,3.6
Wattegama,Hotel Hotel Wattegama,Hotel,231,"Restaurant, Garden",4.3,0.7
Mullaitivu,View Villa Mullaitivu,Hotel,282,"Wi-Fi, Garden, Pool, Gym",3.9,2
Badulla,Palace Villa Badulla,Resort,121,"Garden, Pool, Wi-Fi",4.9,3.3
Kandy,The Grand Inn Kandy,Guesthouse,269,"Garden, Restaurant, Wi-Fi",4.9,2.3
Dambulla,Lodge House Dambulla,Resort,245,"Gym, Pool",3.8,1
Badulla,Heritage House Badulla,Guesthouse,185,"Restaurant, Garden, Pool, Spa",4.6,2.2
Kadugannawa,Palace Resort Kadugannawa,Hotel,108,"Pool, Spa, Wi-Fi",4.1,2.3
Horana,Resort Resort Horana,Resort,127,"Wi-Fi, Gym",3.6,2.4
Melsiripura,Hotel Villa Melsiripura,Guesthouse,90,"Restaurant, Gym",4.2,3.1
Kalpitiya,Hotel Retreat Kalpitiya,Resort,63,"Wi-Fi, Garden, Pool",4.3,4.9
Vavuniya,View Hotel Vavuniya,Guesthouse,145,"Garden, Pool, Gym, Wi-Fi",4.2,0.8
Gampaha,Palace Retreat Gampaha,Resort,89,"Pool, Spa, Garden",4.2,5
Yala National Park,Retreat Villa Yala,Hotel,156,"Wi-Fi, Garden, Restaurant, Gym",4.1,1.1
Chilaw,Palace House Chilaw,Guesthouse,256,"Gym, Restaurant, Garden, Spa",4.6,2.5
Ambalantota,Hotel Palace Ambalantota,Resort,261,"Wi-Fi, Pool, Gym",3.7,3.3
Hatton,Villa Inn Hatton,Hotel,221,"Pool, Spa, Garden, Wi-Fi",4.8,2.3
Beruwala,The Grand House Beruwala,Hotel,66,"Pool, Gym",4.2,2.3
Pinnawala,Hotel Resort Pinnawala,Hotel,216,"Spa, Wi-Fi, Garden",4.5,1.1
Kalutara,Heritage Villa Kalutara,Resort,127,"Spa, Pool, Gym",3.6,3.6
Ambalantota,Retreat Villa Ambalantota,Resort,275,"Gym, Wi-Fi, Spa",4.9,1.8
Kalpitiya,View Retreat Kalpitiya,Guesthouse,97,"Wi-Fi, Pool, Garden, Gym",4.2,2
Jaffna,Villa Inn Jaffna,Hotel,214,"Pool, Spa",3.5,4.1
Mannar,Heritage Inn Mannar,Guesthouse,129,"Gym, Wi-Fi",5,0.8
Katunayake,Hotel Palace Katunayake,Guesthouse,248,"Gym, Spa, Wi-Fi, Garden",4.1,1.2
Pelmadulla,Resort Villa Pelmadulla,Resort,218,"Wi-Fi, Garden, Restaurant, Pool",4.9,2.8
Badulla,Lodge Hotel Badulla,Guesthouse,140,"Garden, Wi-Fi, Pool",4.4,4.3
Denagama,The Grand Resort Denagama,Resort,67,"Spa, Garden",5,0.3
Pasikuda,Resort Retreat Pasikuda,Resort,287,"Pool, Restaurant, Wi-Fi",4.3,2.2
Denagama,Retreat Retreat Denagama,Resort,136,"Pool, Garden, Wi-Fi, Gym",3.7,5
Embilipitiya,Lodge Retreat Embilipitiya,Hotel,216,"Garden, Wi-Fi, Restaurant, Gym",3.6,2.1
Udawalawe,View Villa Udawalawe,Guesthouse,100,"Garden, Restaurant",4.8,4.1
